id,account_id,occurred_at
1,1001,2015-10-06T17:31:14.000Z
2,1001,2015-11-05T03:34:33.000Z
3,1001,2015-12-04T04:21:55.000Z
4,1001,2016-01-02T01:18:24.000Z
5,1001,2016-02-01T19:27:27.000Z
6,1001,2016-03-02T15:29:32.000Z
7,1001,2016-04-01T11:20:18.000Z
8,1001,2016-05-01T15:55:51.000Z
9,1001,2016-05-31T21:22:48.000Z
10,1001,2016-06-30T12:32:05.000Z
11,1001,2016-07-30T03:26:30.000Z
12,1001,2016-08-28T07:13:39.000Z
13,1001,2016-09-26T23:28:25.000Z
14,1001,2016-10-26T20:31:30.000Z
15,1001,2016-11-25T23:21:32.000Z
16,1001,2016-12-24T05:53:13.000Z
17,1011,2016-12-21T10:59:34.000Z
18,1021,2015-10-12T02:21:56.000Z
19,1021,2015-11-11T07:37:01.000Z
20,1021,2015-12-11T16:53:18.000Z
21,1021,2016-01-10T09:29:45.000Z
22,1021,2016-02-09T00:50:46.000Z
23,1021,2016-03-10T00:38:52.000Z
24,1031,2016-12-25T03:54:27.000Z
25,1041,2016-10-14T23:54:21.000Z
26,1041,2016-11-13T10:11:52.000Z
27,1041,2016-12-12T07:50:01.000Z
28,1051,2016-08-02T20:13:27.000Z
29,1051,2016-09-01T05:38:19.000Z
30,1051,2016-10-01T00:48:28.000Z
31,1051,2016-10-31T06:47:30.000Z
32,1051,2016-11-30T07:31:16.000Z
33,1051,2016-12-30T08:45:43.000Z
34,1061,2016-10-19T16:04:11.000Z
35,1061,2016-11-17T08:43:27.000Z
36,1061,2016-12-16T21:32:36.000Z
37,1071,2016-12-13T09:01:03.000Z
38,1081,2015-02-12T22:57:54.000Z
39,1081,2015-03-13T09:48:32.000Z
40,1081,2015-04-12T04:38:22.000Z
41,1081,2015-05-12T23:20:46.000Z
42,1081,2015-06-11T13:43:57.000Z
43,1081,2015-07-11T23:17:32.000Z
44,1081,2015-08-09T18:29:20.000Z
45,1081,2015-09-07T15:35:21.000Z
46,1081,2015-11-06T04:19:20.000Z
47,1081,2015-12-05T21:51:34.000Z
48,1081,2016-01-03T23:21:47.000Z
49,1081,2016-02-01T20:00:37.000Z
50,1081,2016-03-02T06:07:31.000Z
51,1081,2016-04-30T07:46:13.000Z
52,1081,2016-05-30T04:02:38.000Z
53,1081,2016-06-28T06:18:20.000Z
54,1081,2016-07-28T22:48:55.000Z
55,1081,2016-08-26T16:47:57.000Z
56,1081,2016-09-24T09:47:30.000Z
57,1081,2016-10-24T21:46:10.000Z
58,1081,2016-11-23T04:38:57.000Z
59,1081,2016-12-23T13:19:56.000Z
60,1091,2014-08-15T05:38:05.000Z
61,1091,2014-09-13T05:11:21.000Z
62,1091,2014-10-13T12:12:55.000Z
63,1091,2014-11-12T06:54:10.000Z
64,1091,2014-12-11T10:36:32.000Z
65,1091,2015-01-09T14:16:50.000Z
66,1091,2015-02-08T10:01:50.000Z
67,1091,2015-04-07T13:29:20.000Z
68,1091,2015-06-05T19:18:24.000Z
69,1091,2015-07-05T02:45:54.000Z
70,1091,2015-08-03T12:02:33.000Z
71,1091,2015-09-01T14:30:59.000Z
72,1091,2015-10-01T15:53:49.000Z
73,1091,2015-10-31T16:07:00.000Z
74,1091,2015-11-29T21:32:47.000Z
